產業類別,公司代號,公司名稱,員工薪資總額(仟元),員工人數-加權平均(人),員工薪資-平均數(仟元/人),每股盈餘(元/股),同業公司員工薪資-平均數(仟元/人),同業公司平均每股盈餘(元/股),非經理人之全時員工薪資平均數未達50萬元,公司EPS獲利表現較同業為佳，惟非經理人之全時員工薪資平均數低於同業水準,公司EPS較前一年度成長，惟非經理人之全時員工薪資平均數較前一年度減少,公司經營績效與員工薪酬之關聯性及合理性說明
金融保險業,2888,新光金,"13,819,082","14,398",960,0.89,"1,155",1.65,,,,
電腦及週邊設備業,6166,凌華科技,"973,616","1,014",960,1.12,"1,200",2.73,,,,
金融保險業,2816,旺旺保險,"949,957",994,956,2.84,"1,155",1.65,,V,,"1.員工薪酬除固定薪資,另依年度經營績效及個人績效核發年終獎金與員工酬勞。2.依本公司章程第35條之1規定,年度如有獲利,應提撥1%-5%為員工酬勞。本公司依章程規定經董事會討論提撥107年度稅後盈餘1.4%為員工酬勞。"
光電業,2374,佳能,"585,491",613,955,-1.64,816,1.04,,,,
電機機械,1503,士電,"1,776,601","1,862",954,2.72,743,1.51,,,,
汽車工業,3346,麗清,"39,098",41,954,3.02,707,5.02,,,,
貿易百貨,2912,統一超,"5,244,690","5,506",953,9.82,788,3.29,,,,
通信網路業,3694,海華科技,"155,310",163,953,-0.81,"1,123",2.93,,,,
其他,8341,日友,"244,449",257,951,7.38,780,3.69,,,,
光電業,8215,明基材料,"1,220,366","1,284",950,1.02,816,1.04,,,,
紡織纖維,4414,如興,"69,175",73,948,-1.82,637,1.5,,,,
其他電子業,2360,致茂電子,"1,501,053","1,586",946,6.22,"1,179",7.41,,,,
建材營造,5515,建國工程,"227,732",241,945,0.62,783,1.81,,,,
其他電子業,6558,興能高,"49,160",52,945,2.17,"1,179",7.41,,,,
資訊服務業,2480,敦陽科技,"404,094",428,944,3.8,879,2.13,,,,
電子零組件業,2492,華新科,"2,010,105","2,130",944,40.75,785,5.37,,,,
其他電子業,2423,固緯,"337,065",358,942,2.37,"1,179",7.41,,,,
建材營造,2530,華建,"24,496",26,942,0.1,783,1.81,,,,
金融保險業,2832,台產,"740,884",788,940,1.55,"1,155",1.65,,,,
電腦及週邊設備業,2442,新美齊,"36,503",39,936,3.46,"1,200",2.73,,V,,1.108年度調薪作業已完成，依同仁貢獻度、績效表現為參考方向。今年調薪人數比率達63%，調幅約3%。2.年終獎金、員工酬勞則依同仁貢獻度、績效表現呈差異化分配方式。
電子零組件業,3550,聯穎,"37,450",40,936,1.37,785,5.37,,,,
資訊服務業,6112,聚碩,"254,891",273,934,2.86,879,2.13,,,,
通信網路業,5388,中磊電子,"962,096","1,032",932,3.32,"1,123",2.93,,V,,本公司經營績效良好並重視員工，長期持續評估市場薪酬水位以確保員工薪資之競爭力。且本公司因美中貿易戰，於107年開始大規模產量回流台灣，台灣廠之產能倍增，廠區員工作機會亦隨之增加。
電器電纜,1605,華新,"2,210,749","2,375",931,3.53,711,1.96,,,,
電子通路業,3528,安馳科技,"115,405",124,931,2.71,900,3.73,,,,
貿易百貨,2908,特力,"304,960",328,930,0.8,788,3.29,,,,
建材營造,2548,華固建設,"50,164",54,929,3.12,783,1.81,,,,
生技醫療業,4164,承業醫,"102,239",110,929,2.32,674,1.42,,,,
電子通路業,2459,敦吉,"62,084",67,927,4.03,900,3.73,,,,
通信網路業,8101,華冠通訊,"337,679",365,925,-3.41,"1,123",2.93,,,,
金融保險業,2889,國票金控,"1,129,559","1,225",922,0.72,"1,155",1.65,,,,
通信網路業,3380,明泰科技,"1,027,165","1,114",922,-0.17,"1,123",2.93,,,,
資訊服務業,3029,零壹科技,"160,861",175,919,2.06,879,2.13,,,,
紡織纖維,1402,遠東新,"4,261,245","4,649",917,2.41,637,1.5,,,,
電腦及週邊設備業,2331,精英,"733,433",800,917,0.04,"1,200",2.73,,,,
金融保險業,2855,統一證券,"1,274,687","1,390",917,0.87,"1,155",1.65,,,,
